Wavelength (um),n                         
8.02704016,0.499945667
8.052585752,0.491408724
8.078131343,0.486136116
8.103676934,0.483570853
8.11688,0.48309
8.129222525,0.483294422
8.154768116,0.484822073
8.180313707,0.488653616
8.205859299,0.494562578
8.23140489,0.502450875
8.256950481,0.511960168
8.282496072,0.522466174
8.308041663,0.533126108
8.333587255,0.543041461
8.359132846,0.551473483
8.384678437,0.557955163
8.410224028,0.562404933
8.435769619,0.565131973
8.46131521,0.56667086
8.486860802,0.567545741
8.5034,0.56782
8.512406393,0.567797428
8.537951984,0.567440262
8.563497575,0.565052317
8.589043166,0.559778526
8.614588758,0.551382103
8.640134349,0.540504214
8.66567994,0.528260652
8.691225531,0.515736267
8.716771122,0.503704451
8.742316713,0.492618601
8.767862305,0.482742553
8.793407896,0.474464075
8.818953487,0.468214286
8.844499078,0.466378787
8.86525,0.46637
8.870044669,0.466656976
8.895590261,0.47417407
8.921135852,0.488557882
8.946681443,0.51151885
8.972227034,0.544520523
8.997772625,0.588679504
9.023318216,0.644582324
9.048863808,0.711418115
9.074409399,0.787617602
9.09995499,0.870992263
9.125500581,0.959027059
9.151046172,1.049303069
9.176591764,1.141518898
9.202137355,1.237153984
9.227682946,1.337875956
9.253228537,1.445652856
9.278774128,1.559325813
9.304319719,1.675528612
9.329865311,1.790916816
9.355410902,1.901916493
9.380956493,2.009006266
9.406502084,2.113580298
9.432047675,2.216498774
9.457593267,2.313888005
9.483138858,2.402331183
9.508684449,2.483034503
9.53423004,2.560181829
9.559775631,2.634214228
9.585321222,2.70176864
9.610866814,2.760059417
9.636412405,2.806219879
9.661957996,2.842723068
9.687503587,2.871675469
9.713049178,2.895756562
9.73859477,2.915537552
9.764140361,2.931173906
9.789685952,2.941455483
9.80392,2.94379
9.815231543,2.943367838
9.840777134,2.940123863
9.866322725,2.929723013
9.891868317,2.913259373
9.917413908,2.892273971
9.942959499,2.869014754
9.96850509,2.844007392
9.994050681,2.817972683
10.01959627,2.791205547
10.04514186,2.76357567
10.07068745,2.734978298
10.09623305,2.705280209
10.12177864,2.674511107
10.14732423,2.642767595
10.17286982,2.610421653
10.19841541,2.577649433
10.223961,2.544946017
10.24950659,2.512537603
10.27505218,2.480696681
10.30059778,2.449711992
10.32614337,2.419644837
10.35168896,2.39067134
10.37723455,2.362809611
10.40278014,2.336100194
10.42832573,2.31053672
10.45387132,2.286066603
10.47941691,2.262686037
10.50496251,2.24032724
10.5305081,2.218942946
10.55605369,2.198477543
10.58159928,2.178876159
10.60714487,2.160082973
10.63269046,2.142045171
10.65823605,2.124711162
10.68378164,2.108036137
10.70932723,2.091979124
10.73487283,2.07649413
10.76041842,2.061542296
10.78596401,2.047093474
10.8115096,2.033120181
10.83705519,2.019586728
10.86260078,2.006469924
10.88814637,1.993741809
10.91369196,1.981387162
10.93923756,1.969394429
10.96478315,1.957746996
10.99032874,1.946427434
11.01587433,1.935432921
11.04141992,1.924754768
11.06696551,1.914389484
11.0925111,1.904323071
11.11805669,1.894568761
11.14360228,1.885115275
11.16914788,1.875976099
11.19469347,1.867137346
11.22023906,1.858613575
11.24578465,1.850388436
11.27133024,1.842480236
11.29687583,1.834871897
11.32242142,1.827569941
11.34796701,1.820554967
11.37351261,1.813840432
11.3990582,1.807408135
11.42460379,1.801255854
11.45014938,1.795363528
11.47569497,1.789740558
11.50124056,1.78437039
11.52678615,1.779250077
11.55233174,1.774357444
11.57787733,1.769714841
11.60342293,1.765309294
11.62896852,1.761153239
11.65451411,1.757232594
11.6800597,1.753568198
11.70560529,1.750170519
11.73115088,1.747038466
11.75669647,1.744213373
11.78224206,1.741658339
11.80778766,1.739442163
11.83333325,1.737488838
11.85887884,1.735906547
11.88442443,1.734572537
11.90997002,1.733615891
11.93551561,1.732852656
11.9610612,1.732480506
11.98660679,1.732473235
12.01215238,1.732470153
12.01923,1.73247
12.03769798,1.732629064
12.06324357,1.733179857
12.08878916,1.733811334
12.11433475,1.734608736
12.13988034,1.735513993
12.16542593,1.73652556
12.19097152,1.737642323
12.21651711,1.738838869
12.24206271,1.740134882
12.2676083,1.741521799
12.29315389,1.743012526
12.31869948,1.744611151
12.34424507,1.746334205
12.36979066,1.748177719
12.39533625,1.750140745
12.42088184,1.752233439
12.44642743,1.754417758
12.47197303,1.756717065
12.49751862,1.759071614
12.52306421,1.761452503
12.5486098,1.763856274
12.57415539,1.766207009
12.59970098,1.768520577
12.62524657,1.770763206
12.65079216,1.772916417
12.67633776,1.774994347
12.70188335,1.776988901
12.72742894,1.778903036
12.75297453,1.78075767
12.77852012,1.782562914
12.80406571,1.784319086
12.8296113,1.786039002
12.85515689,1.787723183
12.88070248,1.789373419
12.90624808,1.790997669
12.93179367,1.792593298
12.95733926,1.794135703
12.98288485,1.795634996
13.00843044,1.797074713
13.03397603,1.798427449
13.05952162,1.799718795
13.08506721,1.800901076
13.11061281,1.801966101
13.1361584,1.80293838
13.16170399,1.803750111
13.18724958,1.804459671
13.21279517,1.805043196
13.23834076,1.805420869
13.26388635,1.805721262
13.28943194,1.805896556
13.29787,1.80591
13.31497754,1.80588187
13.34052313,1.805756584
13.36606872,1.805572624
13.39161431,1.805281801
13.4171599,1.804820522
13.44270549,1.804291314
13.46825108,1.803683268
13.49379667,1.802974402
13.51934226,1.802212314
13.54488786,1.80137989
13.57043345,1.800478228
13.59597904,1.799529647
13.62152463,1.798519916
13.64707022,1.797455799
13.67261581,1.796351197
