wavelength(m),k
8.28294E-06,0.042990973
8.30849E-06,0.043857244
8.33403E-06,0.044744733
8.35957E-06,0.045661034
8.38512E-06,0.046596538
8.41066E-06,0.047550292
8.43621E-06,0.048529454
8.46175E-06,0.049535759
8.48729E-06,0.050562324
8.51284E-06,0.051612454
8.53838E-06,0.052694285
8.56392E-06,0.053800207
8.58947E-06,0.054937867
8.61501E-06,0.056098236
8.64056E-06,0.057287175
8.6661E-06,0.058511536
8.69164E-06,0.05976835
8.71719E-06,0.06105523
8.74273E-06,0.062376703
8.76827E-06,0.063723544
8.79382E-06,0.065119679
8.81936E-06,0.06654417
8.8449E-06,0.068003948
8.87045E-06,0.069510137
8.89599E-06,0.071060387
8.92154E-06,0.072645558
8.94708E-06,0.074278918
8.97262E-06,0.075955349
8.99817E-06,0.077675375
9.02371E-06,0.079450032
9.04925E-06,0.081275632
9.0748E-06,0.083150735
9.10034E-06,0.08507799
9.12589E-06,0.087061332
9.15143E-06,0.089105017
9.17697E-06,0.091205716
9.20252E-06,0.093366588
9.22806E-06,0.095592548
9.2536E-06,0.097891517
9.27915E-06,0.100260925
9.30469E-06,0.102698524
9.33023E-06,0.105207
9.35578E-06,0.107800872
9.38132E-06,0.110475194
9.40687E-06,0.113231844
9.43241E-06,0.11607434
9.45795E-06,0.119016043
9.4835E-06,0.122048078
9.50904E-06,0.12517522
9.53458E-06,0.128412534
9.56013E-06,0.131758938
9.58567E-06,0.13521621
9.61122E-06,0.138786412
9.63676E-06,0.142479515
9.6623E-06,0.146300161
9.68785E-06,0.150253274
9.71339E-06,0.154339636
9.73893E-06,0.158571633
9.76448E-06,0.162958328
9.79002E-06,0.167507533
9.81556E-06,0.172214789
9.84111E-06,0.177085513
9.86665E-06,0.18214163
9.8922E-06,0.187384999
9.91774E-06,0.192822284
9.94328E-06,0.19845988
9.96883E-06,0.204309312
9.99437E-06,0.210381733
1.00199E-05,0.216679965
1.00455E-05,0.223215621
1.0071E-05,0.230000901
1.00965E-05,0.237043128
1.01221E-05,0.244353247
1.01476E-05,0.251941446
1.01732E-05,0.259815599
1.01987E-05,0.267987298
1.02243E-05,0.276464058
1.02498E-05,0.285255095
1.02754E-05,0.294369451
1.03009E-05,0.303814124
1.03264E-05,0.313601316
1.0352E-05,0.323735664
1.03775E-05,0.334219778
1.04031E-05,0.345055762
1.04286E-05,0.356249897
1.04542E-05,0.367811991
1.04797E-05,0.379718342
1.05052E-05,0.391977951
1.05308E-05,0.404599104
1.05563E-05,0.417556295
1.05819E-05,0.430845598
1.06074E-05,0.444457176
1.0633E-05,0.458392406
1.06585E-05,0.472621465
1.06841E-05,0.487136206
1.07096E-05,0.50191488
1.07351E-05,0.516941006
1.07607E-05,0.532208691
1.07862E-05,0.547682523
1.08118E-05,0.56335818
1.08373E-05,0.579201572
1.08629E-05,0.595210035
1.08884E-05,0.611357453
1.09139E-05,0.627636396
1.09395E-05,0.644020682
1.0965E-05,0.660497959
1.09906E-05,0.67704546
1.10161E-05,0.693657296
1.10417E-05,0.710329676
1.10672E-05,0.727039513
1.10927E-05,0.743777526
1.11183E-05,0.760532713
1.11438E-05,0.777303953
1.11694E-05,0.794068416
1.11949E-05,0.810822233
1.12205E-05,0.827557862
1.1246E-05,0.844275303
1.12716E-05,0.8609607
1.12971E-05,0.877614159
1.13226E-05,0.894218232
1.13482E-05,0.910772247
1.13737E-05,0.92726969
1.13993E-05,0.943711693
1.14248E-05,0.960084623
1.14504E-05,0.976389868
1.14759E-05,0.992608549
1.15014E-05,1.008739426
1.1527E-05,1.024776265
1.15525E-05,1.040723546
1.15781E-05,1.056556264
1.16036E-05,1.072267875
1.16292E-05,1.087853505
1.16547E-05,1.103315685
1.16803E-05,1.118635977
1.17058E-05,1.13379809
1.17313E-05,1.148799547
1.17569E-05,1.163624713
1.17824E-05,1.178272617
1.1808E-05,1.192708481
1.18335E-05,1.20694166
1.18591E-05,1.220931668
1.18846E-05,1.234691512
1.19101E-05,1.248181506
1.19357E-05,1.261415514
1.19612E-05,1.274347658
1.19868E-05,1.286963406
1.20123E-05,1.299253381
1.20379E-05,1.311176186
1.20634E-05,1.322751477
1.2089E-05,1.333899383
1.21145E-05,1.344664606
1.214E-05,1.354955186
1.21656E-05,1.364807703
1.21911E-05,1.37416297
1.22167E-05,1.382982827
1.22422E-05,1.39130223
1.22678E-05,1.398989538
1.22933E-05,1.406163007
1.23188E-05,1.412640671
1.23444E-05,1.418539712
1.23699E-05,1.423763078
1.23955E-05,1.42822896
1.2421E-05,1.432120526
1.24466E-05,1.435054203
1.24721E-05,1.437619671
1.24977E-05,1.438989005
1.25232E-05,1.439093236
1.25487E-05,1.439142689
1.25628E-05,1.43915
1.25743E-05,1.438902406
1.25998E-05,1.437014622
1.26254E-05,1.434313309
1.26509E-05,1.430983827
1.26765E-05,1.426596477
1.2702E-05,1.421582688
1.27275E-05,1.415576092
1.27531E-05,1.408786902
1.27786E-05,1.401244393
1.28042E-05,1.392802412
1.28297E-05,1.38369814
1.28553E-05,1.373757067
1.28808E-05,1.363094239
1.29064E-05,1.351796908
1.29319E-05,1.339749523
1.29574E-05,1.327137941
1.2983E-05,1.313900671
1.30085E-05,1.300080346
1.30341E-05,1.28581595
1.30596E-05,1.271019641
1.30852E-05,1.255810329
1.31107E-05,1.240238101
1.31362E-05,1.224267318
1.31618E-05,1.208041055
1.31873E-05,1.191539331
1.32129E-05,1.174799013
1.32384E-05,1.157927967
1.3264E-05,1.140881681
1.32895E-05,1.123736453
1.3315E-05,1.106559905
1.33406E-05,1.089315525
1.33661E-05,1.072091342
1.33917E-05,1.054917347
1.34172E-05,1.037778102
1.34428E-05,1.020753538
1.34683E-05,1.003840103
1.34939E-05,0.987046558
1.35194E-05,0.970438758
1.35449E-05,0.953998209
1.35705E-05,0.937741904
1.3596E-05,0.921714759
1.36216E-05,0.905889755
1.36471E-05,0.890293172
1.36727E-05,0.874963688
1.36982E-05,0.859873408
1.37237E-05,0.845040991
1.37493E-05,0.830488546
1.37748E-05,0.816189144
1.38004E-05,0.802162958
1.38259E-05,0.788429607
1.38515E-05,0.774963403
1.3877E-05,0.761774395
1.39026E-05,0.748871434
1.39281E-05,0.73623085
1.39536E-05,0.723865183
1.39792E-05,0.711786677
1.40047E-05,0.699972311
1.40303E-05,0.688425479
1.40558E-05,0.677151967
1.40814E-05,0.666131207
1.41069E-05,0.655366049
1.41324E-05,0.644864172
1.4158E-05,0.634607965
1.41835E-05,0.624593911
1.42091E-05,0.614825838
1.42346E-05,0.605287315
1.42602E-05,0.595975599
1.42857E-05,0.5869
