wavelength,n
9.80361E-06,1.305299611
9.81676E-06,1.304923953
9.82991E-06,1.304547496
9.84306E-06,1.304170242
9.85622E-06,1.30379219
0.000009867,1.303481592
9.86937E-06,1.30341334
9.88252E-06,1.303033682
9.89567E-06,1.30265321
9.90882E-06,1.302271926
9.92198E-06,1.301889828
9.93513E-06,1.301506917
9.94828E-06,1.301123192
9.96143E-06,1.300738655
9.97458E-06,1.300353305
9.9855E-06,1.300032846
9.98774E-06,1.299967141
1.00009E-05,1.299580154
1.0014E-05,1.299192339
1.00272E-05,1.298803694
1.00403E-05,1.298414221
1.00535E-05,1.298023919
1.00666E-05,1.297632788
1.00798E-05,1.297240828
1.0093E-05,1.296848039
0.000010104,1.296517456
1.01061E-05,1.296454421
1.01193E-05,1.296059964
1.01324E-05,1.295664662
1.01456E-05,1.295268516
1.01587E-05,1.294871524
1.01719E-05,1.294473688
1.0185E-05,1.294075006
1.01982E-05,1.293675479
1.02113E-05,1.293275106
1.02225E-05,1.292934125
1.02245E-05,1.292873888
1.02376E-05,1.292471814
1.02508E-05,1.292068879
1.02639E-05,1.291665083
1.02771E-05,1.291260425
1.02902E-05,1.290854905
1.03034E-05,1.290448523
1.03165E-05,1.290041278
1.03297E-05,1.289633171
0.000010341,1.289281509
1.03428E-05,1.289224201
1.0356E-05,1.288814359
1.03691E-05,1.288403638
1.03823E-05,1.287992039
1.03954E-05,1.28757956
1.04086E-05,1.287166202
1.04218E-05,1.286751965
1.04349E-05,1.286336847
1.04481E-05,1.28592085
1.04595E-05,1.285558215
1.04612E-05,1.285503971
1.04744E-05,1.285086202
1.04875E-05,1.284667537
1.05007E-05,1.284247976
1.05138E-05,1.283827517
1.0527E-05,1.283406161
1.05401E-05,1.282983907
1.05533E-05,1.282560755
1.05664E-05,1.282136704
0.000010578,1.281762796
1.05796E-05,1.281711754
1.05927E-05,1.281285895
1.06059E-05,1.280859122
1.0619E-05,1.280431433
1.06322E-05,1.280002829
1.06453E-05,1.279573309
1.06585E-05,1.279142871
1.06716E-05,1.278711516
1.06848E-05,1.278279244
1.06965E-05,1.277893749
1.06979E-05,1.277846053
1.07111E-05,1.277411934
1.07243E-05,1.276976882
1.07374E-05,1.276540895
1.07506E-05,1.276103972
1.07637E-05,1.275666114
1.07769E-05,1.27522732
1.079E-05,1.274787588
1.08032E-05,1.274346919
0.000010815,1.273949514
1.08163E-05,1.273905311
1.08295E-05,1.273462756
1.08426E-05,1.273019247
1.08558E-05,1.272574783
1.08689E-05,1.272129364
1.08821E-05,1.271682989
1.08952E-05,1.271235657
1.09084E-05,1.270787367
1.09215E-05,1.270338119
1.09335E-05,1.269928469
1.09347E-05,1.269887911
1.09478E-05,1.269436736
1.0961E-05,1.268984586
1.09741E-05,1.26853146
1.09873E-05,1.268077359
1.10004E-05,1.267622279
1.10136E-05,1.267166222
1.10267E-05,1.266709186
1.10399E-05,1.26625117
0.000011052,1.265828929
1.10531E-05,1.265792173
1.10662E-05,1.265332186
1.10794E-05,1.264871203
1.10925E-05,1.264409224
1.11057E-05,1.263946245
1.11188E-05,1.263482268
1.1132E-05,1.26301729
1.11451E-05,1.262551312
1.11583E-05,1.26208433
1.11705E-05,1.261649137
1.11714E-05,1.261616346
1.11846E-05,1.261147349
1.11977E-05,1.260677334
1.12109E-05,1.2602063
1.1224E-05,1.259734244
1.12372E-05,1.259261166
1.12503E-05,1.258787065
1.12635E-05,1.258311939
1.12766E-05,1.257835788
0.000011289,1.25738727
1.12898E-05,1.25735861
1.13029E-05,1.256880397
1.13161E-05,1.256401142
1.13292E-05,1.255920844
1.13424E-05,1.255439501
1.13555E-05,1.254957112
1.13687E-05,1.254473676
1.13819E-05,1.253989191
1.1395E-05,1.253503656
1.14075E-05,1.253041425
1.14082E-05,1.25301707
1.14213E-05,1.252529425
1.14345E-05,1.252040714
1.14476E-05,1.251550934
1.14608E-05,1.251060085
1.14739E-05,1.250568166
1.14871E-05,1.250075174
1.15002E-05,1.249581109
1.15134E-05,1.249085968
0.000011526,1.24860962
1.15265E-05,1.248589751
1.15397E-05,1.248092449
1.15528E-05,1.247594055
1.1566E-05,1.247094568
1.15791E-05,1.246593985
1.15923E-05,1.246092307
1.16054E-05,1.245589529
1.16186E-05,1.245085652
1.16317E-05,1.244580673
1.16445E-05,1.24408979
1.16449E-05,1.244074591
1.1658E-05,1.243567398
1.16712E-05,1.243059087
1.16844E-05,1.242549656
1.16975E-05,1.242039103
1.17107E-05,1.241527426
1.17238E-05,1.241014623
